,Sentence,Score,Total_Words,Total_Characters,Lemmed_Words,Lemmed_Characters
2484,friends pasta  also bad he barely touched it,0,9,49,8,44
2485,try them in the airport to experience some tasty food and speedy friendly service,1,14,83,14,81
2486,i love the decor with the chinese calligraphy wall paper,1,10,57,10,56
2487,never had anything to complain about here,1,7,42,7,41
2488,the restaurant is very clean and has a family restaurant feel to it,1,13,68,13,67
2489,it was way over fried,0,5,22,5,21
2490,im not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place,0,23,107,23,105
2491,when i opened the sandwich i was impressed but not in a good way,0,14,67,14,64
2492,will not be back,0,4,17,4,16
2493,there was a warm feeling with the service and i felt like their guest for a special treat,1,18,90,18,89
2494,an extensive menu provides lots of options for breakfast,1,9,57,9,56
2495,i always order from the vegetarian menu during dinner which has a wide array of options to choose from,1,19,104,19,102
2496,i have watched their prices inflate portions get smaller and management attitudes grow rapidly,0,14,96,14,94
2497,wonderful lil tapas and the ambience made me feel all warm and fuzzy inside,1,14,76,14,75
2498,i got to enjoy the seafood salad with a fabulous vinegrette,1,11,61,11,59
2499,the wontons were thin not thick and chewy almost melt in your mouth,1,13,70,13,67
2500,level 5 spicy was perfect where spice didnt overwhelm the soup,1,11,66,11,62
2501,we were sat right on time and our server from the get go was fantastic,1,15,71,15,70
2502,main thing i didnt enjoy is that the crowd is of older crowd around mid 30s and up,0,18,85,18,82
2503,when im on this side of town this will definitely be a spot ill hit up again,1,17,80,17,76
2504,i had to wait over 30 minutes to get my drink and longer to get 2 arepas,0,17,73,17,72
2505,this is a great place to eat,1,7,29,7,28
2506,the jalapeno bacon is soooo good,1,6,33,6,32
2507,the service was poor and thats being nice,0,8,42,8,41
2508,food was good service was good prices were good,1,9,50,9,47
2509,the place was not clean and the food oh so stale,0,11,49,11,48
2510,the chicken dishes are ok the beef is like shoe leather,0,11,57,11,55
2511,but the service was beyond bad,0,6,31,6,30
2512,im so happy to be here,1,6,27,6,22
2513,tasted like dirt,0,3,17,3,16
2514,one of the few places in phoenix that i would definately go back to again ,1,16,75,15,74
2515,the block was amazing,1,4,22,4,21
2516,its close to my house its lowkey nonfancy affordable prices good food,1,12,78,12,69
2517, both the hot  sour  the egg flower soups were absolutely 5 stars,1,15,69,12,65
2518,my sashimi was poor quality being soggy and tasteless,0,9,54,9,53
2519,great time  family dinner on a sunday night,1,9,45,8,43
2520,the food is not tasty at all not to say its real traditional hunan style,0,15,76,15,72
2521,what did bother me was the slow service,0,8,41,8,39
2522,the flair bartenders are absolutely amazing,1,6,44,6,43
2523,their frozen margaritas are way too sugary for my taste,0,10,56,10,55
2524,these were so good we ordered them twice,1,8,41,8,40
2525,so in a nutshell 1 the restaraunt smells like a combination of a dirty fish market and a sewer,0,19,97,19,94
2526,my girlfriends veal was very bad,0,6,34,6,32
2527,unfortunately it was not good,0,5,31,5,29
2528,i had a pretty satifying experience,1,6,36,6,35
2529,join the club and get awesome offers via email,1,9,47,9,46
2530,perfect for someone me who only likes beer ice cold or in this case even colder,1,16,84,16,79
2531,bland and flavorless is a good way of describing the barely tepid meat,0,13,71,13,70
2532,the chains which im no fan of beat this place easily,0,11,56,11,52
2533,the nachos are a must have,1,6,27,6,26
2534,we will not be coming back,0,6,27,6,26
2535,i dont have very many words to say about this place but it does everything pretty well,1,17,89,17,86
2536,the staff is super nice and very quick even with the crazy crowds of the downtown juries lawyers and court staff,1,21,115,21,112
2537,great atmosphere friendly and fast service,1,6,44,6,42
2538,when i received my pita it was huge it did have a lot of meat in it so thumbs up there,1,21,87,21,86
2539,once your food arrives its meh,0,6,32,6,30
2540,paying 785 for a hot dog and fries that looks like it came out of a kids meal at the wienerschnitzel is not my idea of a good meal,0,29,134,29,130
2541,the classic maine lobster roll was fantastic,1,7,45,7,44
2542,my brother in law who works at the mall ate here same day and guess what he was sick all night too,0,22,100,22,98
2543,so good i am going to have to review this place twice  once hereas a tribute to the place and once as a tribute to an event held here last night,1,32,146,31,144
2544,the chips and salsa were really good the salsa was very fresh,1,12,63,12,61
2545,this place is great,1,4,33,4,19
2546,mediocre food,0,2,14,2,13
2547,once you get inside youll be impressed with the place,1,10,55,10,53
2548,im super pissd,0,3,16,3,14
2549,and service was super friendly,1,5,31,5,30
2550,why are these sad little vegetables so overcooked,0,8,50,8,49
2551,this place was such a nice surprise,1,7,36,7,35
2552,they were goldencrispy and delicious,1,5,38,5,36
2553,i had high hopes for this place since the burgers are cooked over a charcoal grill but unfortunately the taste fell flat way flat,0,24,132,24,129
2554,i could eat their bruschetta all day it is devine,1,10,50,10,49
2555,not a single employee came out to see if we were ok or even needed a water refill once they finally served us our food,0,25,119,25,118
2556,lastly the mozzarella sticks they were the best thing we ordered,1,11,67,11,64
2557,the first time i ever came here i had an amazing experience i still tell people how awesome the duck was,1,21,106,21,104
2558,the server was very negligent of our needs and made us feel very unwelcome i would not suggest this place,0,20,109,20,105
2559,the service was terrible though,0,5,32,5,31
2560,this place is overpriced not consistent with their boba and it really is overpriced,0,14,86,14,83
2561,it was packed,0,3,15,3,13
2562,i love this place,1,4,18,4,17
2563,i can say that the desserts were yummy,1,8,39,8,38
2564,the food was terrible,0,4,22,4,21
2565,the seasonal fruit was fresh white peach puree,1,8,47,8,46
2566,it kept getting worse and worse so now im officially done,0,11,59,11,57
2567,this place should honestly be blown up,0,7,39,7,38
2568,but i definitely would not eat here again,0,8,42,8,41
2569,do not waste your money here,0,6,29,6,28
2570,i love that they put their food in nice plastic containers as opposed to cramming it in little paper takeout boxes,1,21,115,21,114
2571,the crêpe was delicate and thin and moist,1,8,42,8,41
2572,awful service,0,2,14,2,13
2573,wont ever go here again,0,5,25,5,23
2574,food quality has been horrible,0,5,31,5,30
2575,for that price i can think of a few place i would have much rather gone,0,16,72,16,71
2576,the service here is fair at best,0,7,33,7,32
2577,i do love sushi but i found kabuki to be overpriced overhip and underservices,0,14,83,14,77
2578,do yourself a favor and stay away from this dish,0,10,49,10,48
2579,very poor service,0,3,18,3,17
2580,no one at the table thought the food was above average or worth the wait that we had for it,0,20,92,20,91
2581,best service and food ever maria our server was so good and friendly she made our day,1,17,87,17,85
2582,they were excellent,1,3,20,3,19
2583,i paid the bill but did not tip because i felt the server did a terrible job,0,17,77,17,76
2584,just had lunch here and had a great experience,1,9,47,9,46
2585,i have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor,0,23,127,23,126
2586,food is way overpriced and portions are fucking small,0,9,54,9,53
2587,i recently tried caballeros and i have been back every week since,1,12,67,12,65
2588,for 40 bucks a head i really expect better food,0,10,49,10,47
2589,the food came out at a good pace,1,8,33,8,32
2590,i ate there twice on my last visit and especially enjoyed the salmon salad,1,14,76,14,74
2591,i wont be back,0,4,16,4,14
2592,we could not believe how dirty the oysters were,0,9,48,9,47
2593,this place deserves no stars,0,5,29,5,28
2594,i would not recommend this place,0,6,33,6,32
2595,in fact im going to round up to 4 stars just because she was so awesome,1,16,74,16,71
2596,to my disbelief each dish qualified as the worst version of these foods i have ever tasted,0,17,92,17,90
2597,bad day or not i have a very low tolerance for rude customer service people it is your job to be nice and polite wash dishes otherwise,0,27,139,27,134
2598,the potatoes were great and so was the biscuit,1,9,47,9,46
2599,i probably would not go here again,0,7,35,7,34
2600,so flavorful and has just the perfect amount of heat,1,10,53,10,52
2601,the price is reasonable and the service is great,1,9,49,9,48
2602,the wife hated her meal coconut shrimp and our friends really did not enjoy their meals either,0,17,99,17,94
2603,my fella got the huevos rancheros and they didnt look too appealing,0,12,69,12,67
2604,went in for happy hour great list of wines,1,9,44,9,42
2605,some may say this buffet is pricey but i think you get what you pay for and this place you are getting quite a lot,1,25,115,25,114
2606,i probably wont be coming back here,0,7,37,7,35
2607,worst foodservice ive had in a while,0,7,39,7,36
2608,this place is pretty good nice little vibe in the restaurant,1,11,62,11,60
2609,talk about great customer service of course we will be back,1,11,60,11,59
2610,hot dishes are not hot cold dishes are close to room tempi watched staff prepare food with bare hands no gloveseverything is deep fried in oil,0,26,147,26,142
2611,i love their fries and their beans,1,7,35,7,34
2612,always a pleasure dealing with him,1,6,35,6,34
2613,they have a plethora of salads and sandwiches and everything ive tried gets my seal of approval,1,17,98,17,95
2614,this place is awesome if you want something light and healthy during the summer,1,14,80,14,79
2615,for sushi on the strip this is the place to go,1,11,48,11,46
2616,the service was great even the manager came and helped with our table,1,13,71,13,69
2617,the feel of the dining room was more college cooking course than high class dining and the service was slow at best,0,22,116,22,115
2618,i started this review with two stars but im editing it to give it only one,0,16,77,16,74
2619,this is the worst sushi i have ever eat besides costcos,0,11,57,11,55
2620,all in all an excellent restaurant highlighted by great service a unique menu and a beautiful setting,1,17,104,17,101
2621,my boyfriend and i sat at the bar and had a completely delightful experience,1,14,77,14,76
2622,weird vibe from owners,0,4,23,4,22
2623,there was hardly any meat,0,5,26,5,25
2624,ive had better bagels from the grocery store,0,8,46,8,44
2625,go to place for gyros,1,5,22,5,21
2626,i love the ownerchef his one authentic japanese cool dude,1,10,60,10,57
2627,now the burgers arent as good the pizza which used to be amazing is doughy and flavorless,0,17,92,17,89
